actual_presentation_time,ave_rr,block,block_condition,cardiac_delay_ms,cardiac_phase,choice,choice_time,chosen_symbol,date_time,delay,feedback,intended_presentation_time,is_reversed,outcome_onset_time,participant,percentage_rr,post_choice_fixation_time,reversal_point,rt,run,session,symbol_positions,symbols_onset_time,timing_precision_ms,trial,trial_end_time,trial_start_time,valid_rpeak_time
7223.614772,0.7828997200000231,0,late,704.6097480000208,diastole,1.0,7221.286689,A,20250110-150448,,win,7223.612835348,False,7223.614772,Hamed,0.9,7221.2939946,4,0.3807920999997805,1,001,BA,7220.9058969,1.9366520000403398,0,7227.6144992,7219.5489998,7222.9082256
7231.5252357,0.8115998799999943,0,late,730.4398919999949,diastole,1.0,7229.5897332,B,20250110-150448,,loss,7231.522654091999,False,7231.5252357,Hamed,0.9,7229.5967781,4,0.5445010000003094,1,001,AB,7229.0452322,2.5816080005824915,1,7235.5248549,7227.6151469,7230.7922142
7239.4172164,0.7780646400000478,0,late,700.258176000043,diastole,0.0,7236.9523611,B,20250110-150448,,win,7239.415084376,False,7239.4172164,Hamed,0.9,7236.959585,4,0.3284015000008367,1,001,BA,7236.6239596,2.1320240002751234,2,7243.4176962,7235.5265229,7238.7148262
7247.3292804,0.7906172999999399,0,late,711.555569999946,diastole,0.0,7245.1455536,A,20250110-150448,,win,7247.32701847,False,7247.3292804,Hamed,0.9,7245.1528738,4,0.3876465000003009,1,001,AB,7244.7579071,2.2619299998041242,3,7251.3291725,7243.4187512,7246.6154629
7255.314973,0.7950826799999049,0,late,715.5744119999144,diastole,1.0,7253.0384523,A,20250110-150448,,loss,7255.313211312,True,7255.314973,Hamed,0.9,7253.0443396,4,0.30462080000052083,1,001,BA,7252.7338315,1.7616879995330237,4,7259.3149078,7251.3298664,7254.5976369
7263.2182442,0.7903501599999799,0,late,711.315143999982,diastole,0.0,7260.9615051,B,20250110-150448,,win,7263.215359244,True,7263.2182442,Hamed,0.9,7260.9679729,4,0.3976580999997168,1,001,BA,7260.563847,2.8849560003436636,5,7267.2178236,7259.3158449,7262.5040441
,,0,late,,,,,,20250110-150448,,timeout,,True,,Hamed,,,4,,1,001,AB,7268.3424846,,6,7270.099203,7267.2189799,
,,0,late,,,,,,20250110-150448,,timeout,,True,,Hamed,,,4,,1,001,AB,7271.2187168,,7,7272.9726593,7270.0994155,
,,0,late,,,,,,20250110-150448,,timeout,,True,,Hamed,,,4,,1,001,BA,7274.2943329,,8,7276.0506713,7272.972905,
7279.3699315,0.7961359799999628,0,late,716.5223819999666,diastole,1.0,7277.6162399,B,20250110-150448,,win,7279.368481482,True,7279.3699315,Hamed,0.9,7277.6230656,4,0.4181014000005234,1,001,AB,7277.1981385,1.4500180004688445,9,7283.369971,7276.0512156,7278.6519591
